pmid,doi,num_authors,year,month,day,title,issn,issn_type,volume,issue,journal_title,journal_title_iso,pmid_mesh,descriptor_id,descriptor_name,descriptor_major_topic,qualifiers
27131205,10.1016/j.gaitpost.2015.12.027,1,2016,5,1,"Letter to the Editor: On ""Advantages and disadvantages of stiffness instructions when studying postural control"" by C.T. Bonnet: Quiet stance and the real world.",1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220351,D017568,Rectus Abdominis,N,"['diagnostic imaging', 'injuries']"
27131206,10.1016/j.gaitpost.2015.12.028,2,2016,5,1,"Letter to the Editor: On ""Advantages and disadvantages of stiffness instructions when studying postural control"" by C.T. Bonnet: Taking a step towards a broader perspective on quiet standing instructions.",1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220351,D012420,Running,Y,[]
27131207,10.1016/j.gaitpost.2015.12.029,2,2016,5,1,"Letter to the Editor: On ""Advantages and disadvantages of stiffness instructions when studying postural control"" by C.T. Bonnet: Comments on ""Advantages and disadvantages of stiffness instructions when studying postural control"".",1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220351,D013180,Sprains and Strains,N,"['diagnosis', 'physiopathology']"
27131208,10.1016/j.gaitpost.2015.12.030,2,2016,5,1,"Letter to the Editor: On ""Advantages and disadvantages of stiffness instructions when studying postural control"" by C.T. Bonnet: Comments on ""Advantages and disadvantages of stiffness instructions when studying postural control"".",1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220351,D014463,Ultrasonography,N,[]
27131210,10.1016/j.gaitpost.2015.12.032,0,2016,5,1,"Author response to the letter: On ""Advantages and disadvantages of stiffness instructions when studying postural control"" by C.T. Bonnet.",1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220352,D000082,Acetaminophen,N,['therapeutic use']
27131209,10.1016/j.gaitpost.2015.12.031,5,2016,5,1,"Letter to the Editor: On ""Advantages and disadvantages of stiffness instructions when studying postural control"" by C.T. Bonnet: You just can't win: Advantages and disadvantages of the postural stability requirement.",1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220352,D018712,"Analgesics, Non-Narcotic",N,['therapeutic use']
27131211,10.1016/j.seizure.2016.04.004,5,2016,5,25,Long-term effects of a multidisciplinary transition intervention from paediatric to adult care in patients with epilepsy.,1532-2688,Electronic,38,,Seizure,Seizure,20220352,D000894,"Anti-Inflammatory Agents, Non-Steroidal",N,"['administration & dosage', 'adverse effects', 'therapeutic use']"
27131212,10.1016/j.virol.2016.04.022,5,2016,5,28,Human metapneumovirus small hydrophobic (SH) protein downregulates type I IFN pathway signaling by affecting STAT1 expression and phosphorylation.,1096-0341,Electronic,494,,Virology,Virology,20220352,D056352,Athletes,Y,[]
27131213,10.1016/j.prosdent.2015.12.003,0,2016,4,30,Erratum.,1097-6841,Electronic,115,5,The Journal of prosthetic dentistry,J Prosthet Dent,20220352,D001265,Athletic Injuries,N,['drug therapy']
27131214,10.1016/j.prosdent.2016.03.001,0,2016,4,30,Erratum.,1097-6841,Electronic,115,5,The Journal of prosthetic dentistry,J Prosthet Dent,20220352,D052246,Cyclooxygenase 2 Inhibitors,N,"['administration & dosage', 'adverse effects', 'therapeutic use']"
27131215,10.1111/bcp.12993,6,2016,4,30,Oleuropein aglycone and polyphenols from olive mill waste water ameliorate cognitive deficits and neuropathology.,1365-2125,Electronic,83,1,British journal of clinical pharmacology,Br J Clin Pharmacol,20220352,D041981,Gastrointestinal Tract,N,['drug effects']
27131216,10.1016/j.forsciint.2016.04.005,7,2016,5,17,Investigation of dental alginate and agar impression materials as a brain simulant for ballistic testing.,1872-6283,Electronic,263,,Forensic science international,Forensic Sci. Int.,20220352,D006801,Humans,N,[]
27131217,10.1016/j.forsciint.2016.04.020,2,2016,5,17,"From binary presumptive assays to probabilistic assessments: Differentiation of shooters from non-shooters using IMS, OGSR, neural networks, and likelihood ratios.",1872-6283,Electronic,263,,Forensic science international,Forensic Sci. Int.,20220352,D007010,Hyponatremia,N,['chemically induced']
27131218,10.1016/j.forsciint.2016.04.015,4,2016,5,17,Correlation of firing pin impressions based on congruent matching cross-sections (CMX) method.,1872-6283,Electronic,263,,Forensic science international,Forensic Sci. Int.,20220352,D007668,Kidney,N,['drug effects']
27131219,10.1016/j.forsciint.2016.04.018,3,2016,5,17,Alternative method for determining the original drop volume of bloodstains on knit fabrics.,1872-6283,Electronic,263,,Forensic science international,Forensic Sci. Int.,20220352,D007676,"Kidney Failure, Chronic",N,['chemically induced']
27131220,10.1016/j.addbeh.2016.03.039,9,2016,5,28,Childhood sexual abuse and two stages of cigarette smoking in African-American and European-American young women.,1873-6327,Electronic,60,,Addictive behaviors,Addict Behav,20220353,D015746,Abdominal Pain,N,"['diagnosis', 'epidemiology', 'etiology', 'physiopathology']"
27131221,10.1002/hed.24496,8,2016,4,30,Complications after surgery for benign parotid gland neoplasms: A prospective cohort study.,1097-0347,Electronic,,,Head & neck,Head Neck,20220353,D056352,Athletes,Y,[]
27131222,10.1002/hed.24492,6,2016,9,17,Right-sided aortic arch and aberrant left subclavian artery with or without a left nonrecurrent inferior laryngeal nerve.,1097-0347,Electronic,38,10,Head & neck,Head Neck,20220353,D003937,"Diagnosis, Differential",Y,[]
27131223,10.1002/hed.24458,10,2016,9,17,Pretreatment computed tomographic gross tumor volume as predictor of persistence of tracheostomy and percutaneous endoscopic gastrostomy tube in patients undergoing larynx preservation.,1097-0347,Electronic,38,10,Head & neck,Head Neck,20220353,D019937,Diagnostic Techniques and Procedures,N,[]
27131224,10.1016/j.hemonc.2016.04.002,5,2016,5,23,Therapeutic approaches for treating hemophilia A using embryonic stem cells.,1658-3876,Print,9,2,Hematology/oncology and stem cell therapy,Hematol Oncol Stem Cell Ther,20220353,D041981,Gastrointestinal Tract,N,['physiopathology']
27131226,10.1111/ceo.12769,3,2016,4,30,Venlafaxine-induced intraocular pressure rise in a patient with open angle glaucoma.,1442-9071,Electronic,44,8,Clinical & experimental ophthalmology,Clin. Experiment. Ophthalmol.,20220353,D006801,Humans,N,[]
27131225,10.1111/jgs.14092,9,2016,5,26,Association Between Accelerated Multimorbidity and Age-Related Cognitive Decline in Older Baltimore Longitudinal Study of Aging Participants without Dementia.,1532-5415,Electronic,64,5,Journal of the American Geriatrics Society,J Am Geriatr Soc,20220353,D005082,Physical Exertion,N,['physiology']
27131227,10.1016/j.archger.2016.04.002,6,2016,5,14,Risk factors for functional decline in a population aged 75 years and older without total dependence: A one-year follow-up.,1872-6976,Electronic,65,,Archives of gerontology and geriatrics,Arch Gerontol Geriatr,20220353,D012196,Review Literature as Topic,N,[]
27131230,10.1111/jgh.13430,3,2016,4,30,"Hepatobiliary and Pancreatic: Acute acalculous cholecystitis in systemic lupus erythematosus, successfully treated with corticosteroid.",1440-1746,Electronic,31,10,Journal of gastroenterology and hepatology,J. Gastroenterol. Hepatol.,20220353,D014481,United States,N,['epidemiology']
27131229,10.1016/j.archger.2016.04.003,8,2016,5,14,Phenotype of sarcopenic obesity in older individuals with a history of falling.,1872-6976,Electronic,65,,Archives of gerontology and geriatrics,Arch Gerontol Geriatr,20220354,D056352,Athletes,Y,[]
27131228,10.1016/j.archger.2016.04.008,6,2016,5,14,The role of comprehensive geriatric assessment and functional status in evaluating the patterns of antithrombotic use among older people with atrial fibrillation.,1872-6976,Electronic,65,,Archives of gerontology and geriatrics,Arch Gerontol Geriatr,20220354,D003937,"Diagnosis, Differential",N,[]
27131233,10.1016/j.ajodo.2016.03.009,1,2016,5,1,Our perfect storm: One orthodontist's opinion.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220354,D006801,Humans,N,[]
27131232,10.1016/j.ejogrb.2016.03.048,7,2016,6,3,Magnesium sulphate and perinatal mortality and morbidity in very-low-birthweight infants born between 24 and 32 weeks of gestation in Japan.,1872-7654,Electronic,201,,"European journal of obstetrics, gynecology, and reproductive biology",Eur. J. Obstet. Gynecol. Reprod. Biol.,20220354,D011859,Radiography,N,[]
27131231,10.1111/jgs.14089,6,2016,5,26,Comparing Prognostic Tools for Cancer Screening: Considerations for Clinical Practice and Performance Assessment.,1532-5415,Electronic,64,5,Journal of the American Geriatrics Society,J Am Geriatr Soc,20220354,D013154,Spleen,N,"['anatomy & histology', 'injuries']"
27131234,10.1016/j.ajodo.2016.02.004,1,2016,5,1,"""The choice is ours"" (not to mention our patients').",1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220354,D014463,Ultrasonography,N,[]
27131235,10.1016/j.ajodo.2016.02.002,3,2016,5,1,Authors' response.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220354,D014947,Wounds and Injuries,N,"['diagnosis', 'diagnostic imaging', 'physiopathology', 'therapy']"
27131236,10.1016/j.ajodo.2016.02.003,2,2016,5,1,History of imaging in orthodontics: A history of overdiagnosis?,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220355,D000007,Abdominal Injuries,N,"['diagnosis', 'physiopathology', 'rehabilitation', 'surgery', 'therapy']"
27131237,10.1016/j.ajodo.2016.02.006,3,2016,5,1,Use of Ramanujan's equation of ellipse to determine arch perimeter.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220355,D056352,Athletes,Y,[]
27131238,10.1016/j.ajodo.2016.02.005,2,2016,5,1,Authors' response.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220355,D012090,Cumulative Trauma Disorders,Y,['physiopathology']
27131239,10.1016/j.ajodo.2016.01.014,1,2016,5,1,Start at the beginning.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220355,D003937,"Diagnosis, Differential",N,[]
27131240,10.1016/j.ajodo.2016.03.001,1,2016,5,1,Residents' journal review.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220355,D006119,Groin,N,"['injuries', 'physiopathology']"
27131241,10.1016/j.ajodo.2016.03.003,1,2016,5,1,It's a rough sport.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220355,D006306,Health Surveys,N,[]
27131242,10.1016/j.ajodo.2015.09.030,6,2016,5,1,Effectiveness of orthodontic treatment with functional appliances on maxillary growth in the short term: A systematic review and meta-analysis.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220355,D046449,"Hernia, Abdominal",N,"['diagnosis', 'physiopathology', 'rehabilitation', 'surgery']"
27131243,10.1016/j.ajodo.2015.11.023,5,2016,5,1,Fixed functional appliances with multibracket appliances have no skeletal effect on the mandible: A systematic review and meta-analysis.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220355,D006801,Humans,N,[]
27131244,10.1016/j.ajodo.2015.10.025,6,2016,5,1,Predicting improvement of postorthodontic white spot lesions.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220355,D017568,Rectus Abdominis,N,"['injuries', 'physiopathology', 'surgery']"
27131245,10.1016/j.ajodo.2015.10.027,4,2016,5,1,Effect of polyvinylsiloxane material and impression handling on the accuracy of digital models.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220357,D000761,"Anesthesia Department, Hospital",Y,[]
27131246,10.1016/j.ajodo.2015.10.021,12,2016,5,1,Common 3-dimensional coordinate system for assessment of directional changes.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220357,D000776,Anesthesiology,Y,[]
27131247,10.1016/j.ajodo.2015.10.022,6,2016,5,1,Maxillary first premolar inclination in 8- to 11-year-old children: An observational cross-sectional study on panoramic radiographs.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220357,D005060,Europe,N,[]
27131248,10.1016/j.ajodo.2015.10.023,4,2016,5,1,Effects of fixed orthodontic treatment on nickel and chromium levels in gingival crevicular fluid as a novel systemic biomarker of trace elements: A longitudinal study.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220357,D006751,Hospital Information Systems,N,['economics']
27131249,10.1016/j.ajodo.2015.10.024,4,2016,5,1,Effects of maxillary protraction therapy on the pharyngeal airway in patients with repaired unilateral cleft lip and palate: A 3-dimensional computed tomographic study.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220357,D006753,Hospital Records,N,[]
27131250,10.1016/j.ajodo.2015.11.021,4,2016,5,1,Relationship of craniofacial morphology in 3-dimensional analysis of the pharynx.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220357,D006801,Humans,N,[]
27131252,10.1016/j.ajodo.2015.10.028,3,2016,5,1,Role of myosin 1H gene polymorphisms in mandibular retrognathism.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220357,D008490,Medical Informatics,N,['economics']
27131251,10.1016/j.ajodo.2015.10.026,6,2016,5,1,Influence of TNF-α-308 G/A gene polymorphism on temporomandibular disorder.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220358,D018686,"Anesthetics, Intravenous",Y,"['pharmacokinetics', 'pharmacology']"
27131253,10.1016/j.ajodo.2015.11.022,5,2016,5,1,Analysis of the maxillary dental arch after rapid maxillary expansion in patients with unilateral complete cleft lip and palate.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220358,D017321,"Clinical Trials, Phase I as Topic",Y,[]
27131254,10.1016/j.ajodo.2015.04.043,5,2016,5,1,Microimplant-assisted rapid palatal expansion appliance to orthopedically correct transverse maxillary deficiency in an adult.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220358,D017322,"Clinical Trials, Phase II as Topic",Y,[]
27131255,10.1016/j.ajodo.2015.07.042,4,2016,5,1,Asymmetric molar distalization with miniscrews to correct a severe unilateral Class III malocclusion.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220358,D006801,Humans,N,[]
27131256,10.1016/j.ajodo.2015.05.035,6,2016,5,1,Unilateral mandibular condylar osteochondroma treated with ipsilateral condylectomy and contralateral ramus osteotomy.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220358,D015742,Propofol,N,"['analogs & derivatives', 'pharmacokinetics', 'pharmacology']"
27131257,10.1016/j.ajodo.2015.12.008,3,2016,5,1,Transplant vs implant in a patient with agenesis of both maxillary lateral incisors: A 9-year follow-up.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220358,D012180,Retraction of Publication as Topic,Y,[]
27131259,10.1016/j.ajodo.2016.02.008,1,2016,5,1,It's just a phase.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220358,D013997,Time Factors,N,[]
27131260,10.1016/j.ajodo.2016.02.007,1,2016,5,1,Using linear regression for t tests and analysis of variance.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220363,D005720,Gamma Rays,Y,[]
27131258,10.1016/j.ajodo.2015.10.029,3,2016,5,1,Reproducibility of the lip position at rest: A 3-dimensional perspective.,1097-6752,Electronic,149,5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,20220363,D006801,Humans,N,[]
27131262,10.1016/j.ijcard.2016.04.138,4,2016,5,24,A response to the letter by Liu et al.: Surgical correction of a Giant isolated congenital left ventricular diverticulum.,1874-1754,Electronic,215,,International journal of cardiology,Int. J. Cardiol.,20220363,D009010,Monte Carlo Method,Y,[]
27131261,10.1016/j.ijcard.2016.04.110,7,2016,5,24,Multimorbidity is strongly associated with long-term but not short-term mortality after cardiac valve replacement.,1874-1754,Electronic,215,,International journal of cardiology,Int. J. Cardiol.,20220363,D010315,Particle Accelerators,Y,[]
27131263,10.1016/j.ijcard.2016.04.133,7,2016,5,24,"New therapy, new challenges: The effects of long-term continuous flow left ventricular assist device on inflammation.",1874-1754,Electronic,215,,International journal of cardiology,Int. J. Cardiol.,20220363,D017785,Photons,Y,[]
27131264,10.1016/j.ijcard.2016.03.232,12,2016,5,24,Reducing time delays in the management of ischemic stroke patients in Northern Italy.,1874-1754,Electronic,215,,International journal of cardiology,Int. J. Cardiol.,20220363,D011829,Radiation Dosage,N,[]
27131265,10.1016/j.ijcard.2016.04.039,3,2016,5,24,Severe aortic regurgitation during percutaneous closure of ventricular septal defect.,1874-1754,Electronic,215,,International journal of cardiology,Int. J. Cardiol.,20220363,D011834,Radiation Monitoring,N,['methods']
27131266,10.1016/j.ijcard.2016.04.115,1,2016,5,24,Proof of an association between Morbus Ebstein and arrhythmogenic cardiomyopathy in a patient with chronic atrial fibrillation.,1874-1754,Electronic,215,,International journal of cardiology,Int. J. Cardiol.,20220363,D018570,Risk Assessment,N,[]
27131267,10.1016/j.ijcard.2016.04.141,6,2016,5,24,Acute life-threatening reversible pulmonary vasoconstrictive reaction to bleomycin chemotherapy demonstrating the clinical application of ePLAR - echocardiographic Pulmonary to Left Atrial Ratio.,1874-1754,Electronic,215,,International journal of cardiology,Int. J. Cardiol.,20220363,D017356,Synchrotrons,N,['instrumentation']
27131268,10.1016/j.ijcard.2016.04.134,10,2016,5,24,Combined therapy with sitagliptin plus granulocyte-colony stimulating factor in patients with acute myocardial infarction - Long-term results of the SITAGRAMI trial.,1874-1754,Electronic,215,,International journal of cardiology,Int. J. Cardiol.,20220363,D013624,Taiwan,N,[]
27131269,10.1016/j.ijcard.2016.03.238,7,2016,5,24,Insulin-induced hypoglycaemia and the detection of myocardial injury using an ultrasensitive troponin assay.,1874-1754,Electronic,215,,International journal of cardiology,Int. J. Cardiol.,20220360,D000305,Adrenal Cortex Hormones,N,['adverse effects']
27131271,10.1016/j.chiabu.2016.04.006,3,2016,5,29,"Psychosocial functioning in Dutch foster children: The relationship with child, family, and placement characteristics.",1873-7757,Electronic,56,,Child abuse & neglect,Child Abuse Negl,20220360,D001714,Bipolar Disorder,N,['chemically induced']
27131270,10.1016/j.chiabu.2016.04.007,8,2016,5,29,Perceptions of general and parenting-specific posttraumatic change among postpartum mothers with histories of childhood maltreatment.,1873-7757,Electronic,56,,Child abuse & neglect,Child Abuse Negl,20220360,D005260,Female,N,[]
27131272,10.1016/j.ceb.2016.04.006,5,2016,8,10,Mechanics of epithelial tissues during gap closure.,1879-0410,Electronic,42,,Current opinion in cell biology,Curr. Opin. Cell Biol.,20220360,D019693,"Hepatitis, Autoimmune",N,['drug therapy']
27131273,10.1016/j.jaging.2016.01.001,3,2016,5,1,Witnessing presence: Swedish care professionals' experiences of supporting resident's well-being processes within the frame of residential care homes (RCH).,1879-193X,Electronic,37,,Journal of aging studies,J Aging Stud,20220360,D006801,Humans,N,[]
27131274,10.1016/j.jaging.2015.12.002,3,2016,5,1,"Liminal homes: Older people, loss of capacities, and the present future of living spaces.",1879-193X,Electronic,37,,Journal of aging studies,J Aging Stud,20220360,D008875,Middle Aged,N,[]
27131275,10.1016/j.jaging.2016.02.001,1,2016,5,1,Sociability and distinction: An ethnographic study of a French nursing home.,1879-193X,Electronic,37,,Journal of aging studies,J Aging Stud,20220360,D011241,Prednisone,N,['adverse effects']
27131276,10.1016/j.jaging.2016.02.002,2,2016,5,1,Can 'distant water … quench the instant thirst'? The renegotiation of familial support in rural China in the face of extensive out migration.,1879-193X,Electronic,37,,Journal of aging studies,J Aging Stud,20220360,D016896,Treatment Outcome,N,[]
27131277,10.1016/j.jaging.2016.03.001,8,2016,5,1,Living with uncertainty: Mapping the transition from pre-diagnosis to a diagnosis of dementia.,1879-193X,Electronic,37,,Journal of aging studies,J Aging Stud,20220364,D006801,Humans,N,[]
27131278,10.1016/j.jaging.2016.02.004,2,2016,5,1,Dependence on place: A source of autonomy in later life for older Māori.,1879-193X,Electronic,37,,Journal of aging studies,J Aging Stud,20220364,D008122,Local Area Networks,Y,[]
27131279,10.1016/j.jaging.2016.02.003,1,2016,5,1,Free choice in residential care for older people - A philosophical reflection.,1879-193X,Electronic,37,,Journal of aging studies,J Aging Stud,20220364,D008962,"Models, Theoretical",Y,[]
27131280,10.1016/j.jaging.2016.01.002,3,2016,5,1,Relative prospects of children as they age: Canadians and Americans in midlife in the great recession frame future generations.,1879-193X,Electronic,37,,Journal of aging studies,J Aging Stud,20220364,D011829,Radiation Dosage,N,[]
27131281,10.1016/j.jaging.2016.02.005,2,2016,5,1,Mid and later life care work migration: Patterns of re-organising informal care obligations in Central and Eastern Europe.,1879-193X,Electronic,37,,Journal of aging studies,J Aging Stud,20220364,D011834,Radiation Monitoring,N,['methods']
27131282,10.1016/j.jmgm.2016.03.015,7,2016,5,10,"Docking, QM/MM, and molecular dynamics simulations of the hexose transporter from Plasmodium falciparum (PfHT).",1873-4243,Electronic,66,,Journal of molecular graphics & modelling,J. Mol. Graph. Model.,20220364,D011846,Radio Waves,N,['adverse effects']
27131283,10.1016/j.jmgm.2016.04.007,4,2016,5,10,Tuning of the stability and energy levels of singlet exciton fission relevant excited states of pentacenes by site-specific substitution.,1873-4243,Electronic,66,,Journal of molecular graphics & modelling,J. Mol. Graph. Model.,20220364,D015203,Reproducibility of Results,N,[]
27131284,10.1016/j.thromres.2016.04.008,8,2016,5,30,Expression of pro-inflammatory genes in human endothelial cells: Comparison of rivaroxaban and dabigatran.,1879-2472,Electronic,142,,Thrombosis research,Thromb. Res.,20220364,D018570,Risk Assessment,N,[]
27131285,10.1016/j.vaccine.2016.04.052,9,2016,5,22,Heat killed Saccharomyces cerevisiae as an adjuvant for the induction of vaccine-mediated immunity against infection with Mycobacterium tuberculosis.,1873-2518,Electronic,34,25,Vaccine,Vaccine,20220364,D012449,Safety,N,['standards']
27131286,10.1016/j.juro.2016.02.2987,2,2016,8,2,Editorial Comment.,1527-3792,Electronic,196,2,The Journal of urology,J. Urol.,20220365,D001822,Body Burden,N,[]
